fecha,CAMUZZI GAS PAMPEANA SA,DISTRIBUIDORA DE GAS CUYANA SA,DISTRIBUIDORA DE GAS DEL CENTRO SA,GAS NEA SA,GASNOR SA,LITORAL GAS SA,METROGAS SA,NATURGY BAN SA,CAMUZZI GAS DEL SUR SA
2010-08-01,13474,6030,6546,1285,4988,598,21079,9824,10803
2010-09-01,13474,6030,6546,1285,4988,598,21079,9824,10803
2010-10-01,13383,6030,6046,1285,4988,598,21079,9824,10803
2010-11-01,13383,6030,6046,1285,4988,598,21079,9824,10803
2010-12-01,13383,6030,6046,1285,4988,598,21079,9824,10803
2011-01-01,12783,6030,6046,1285,4988,598,21079,9815,10803
2011-02-01,12783,6030,6046,1285,4988,598,21079,9815,10803
2011-03-01,12783,6030,6046,1285,4988,598,21079,9815,10803
2011-04-01,12783,6030,6046,1285,4988,598,21079,9815,10803
2011-05-01,13117,4450,6046,370,4988,598,21079,9815,10803
2011-06-01,13317,4450,6546,1370,4988,598,21114,9815,10803
2011-07-01,13317,4450,6546,1370,4988,598,21114,9815,10803
2011-08-01,13317,4450,6546,1470,4988,598,21114,9815,10803
2011-09-01,13317,4450,6546,1350,4988,598,21114,9815,10803
2011-10-01,13204,4450,6546,1350,4988,598,21114,9815,10803
2011-11-01,13204,5517,6546,1350,4988,598,21114,9815,10803
2011-12-01,13204,5517,6546,1350,4988,598,21114,9815,10803
2012-01-01,13204,5517,6546,1350,4988,598,21114,9815,10803
2012-02-01,13204,5517,6546,1350,4988,598,21114,9815,10803
2012-03-01,13204,5517,6546,1350,4988,598,21114,9815,10803
2012-04-01,13204,5517,6546,1350,4988,598,21114,9815,10803
2012-05-01,13317,5517,6546,1350,4988,598,21114,9815,10803
2012-06-01,13317,5517,6546,1350,4988,598,21114,9815,10803
2012-07-01,13317,5517,6546,1350,4988,598,21114,9815,10803
2012-08-01,13317,5517,6546,1350,4988,598,21114,9815,10803
2012-09-01,13317,5517,6546,1350,4988,598,21114,9815,10803
2012-10-01,13204,5517,6546,1350,4988,598,21114,9815,10803
2012-11-01,13204,5517,6546,1350,4988,598,21114,9815,10803
2012-12-01,13204,5517,6546,1350,4988,598,21114,9815,10803
2013-01-01,13204,5517,6546,1350,4988,598,21114,9815,10803
2013-02-01,13204,5517,6546,1350,4988,598,21114,9815,10803
2013-03-01,13204,5517,6546,1350,4988,598,21114,9815,10803
2013-04-01,13204,5517,6546,1350,4988,598,21114,9815,10803
2013-05-01,13317,5517,6546,1500,4988,598,21114,9815,10803
2013-06-01,13317,5517,6546,1500,4988,598,21114,9815,10803
2013-07-01,13317,5517,6546,1500,4988,598,21114,9815,10803
2013-08-01,13317,5517,6546,1500,4988,598,21114,9815,10803
2013-09-01,13317,5517,6546,1500,4988,598,21114,9815,10803
2013-10-01,13204,5517,6546,1500,4988,598,21114,9815,10803
2013-11-01,13204,5517,6546,1500,4988,598,21114,9815,10803
2013-12-01,13204,5517,6546,1500,4988,598,21114,9815,10803
2014-01-01,13204,5517,6546,1500,4988,598,21114,9815,10803
2014-02-01,13204,5517,6546,1500,4988,598,21114,9815,10803
2014-03-01,13204,5517,6546,1500,4988,598,21114,9815,10803
2014-04-01,13204,5517,6546,1500,4988,598,21114,9815,10803
2014-05-01,13317,5517,6546,1500,4988,598,21014,9815,10803
2014-06-01,13317,5517,6546,1500,4988,598,21014,9815,10803
2014-07-01,13317,5517,6546,1500,4988,598,21014,9815,10803
2014-08-01,13317,5517,6546,1500,4988,598,21014,9815,10803
2014-09-01,13317,5517,6546,1500,4988,598,21014,9815,10803
2014-10-01,13204,5517,6546,1500,4988,598,21014,9815,10803
2014-11-01,13204,5517,6546,1500,4988,598,21014,9815,10803
2014-12-01,13204,5517,6546,1500,4988,598,21014,9815,10803
2015-01-01,13204,5517,6546,1500,4988,598,21014,9815,10803
2015-02-01,13204,5517,6546,1500,4988,598,21014,9815,10803
2015-03-01,13204,5517,6546,1500,4988,598,21014,9815,10803
2015-04-01,13204,5517,6546,1500,4988,598,21014,9815,10803
2015-05-01,13317,5517,6546,1650,4988,598,21014,9815,10803
2015-06-01,13317,5517,6546,1650,4988,598,21014,9815,10803
2015-07-01,13317,5517,6546,1650,4988,598,21014,9815,10803
2015-08-01,13317,5517,6546,1650,4988,598,21014,9815,10803
2015-09-01,13317,5517,6546,1650,4988,598,21014,9815,10803
2015-10-01,13204,5517,6546,1650,4988,598,21014,9815,10803
2015-11-01,13204,5517,6546,1650,4988,598,21014,9815,10803
2015-12-01,13204,5517,6546,1650,4988,598,21014,9815,10803
2016-01-01,13204,5517,6546,1650,4988,598,21014,9815,10803
2016-02-01,13204,5517,6546,1650,4988,598,21014,9815,10803
2016-03-01,13204,5517,6546,1650,4988,598,21014,9815,10803
2016-04-01,13204,5517,6546,1650,4988,598,21014,9815,10803
2016-05-01,13317,5517,6546,1650,4988,598,16714,9815,10803
2016-06-01,15617,5517,6546,1650,4988,598,16714,10325,10803
2016-07-01,15617,5517,6546,1650,4988,598,16714,10325,10803
2016-08-01,15617,5517,6546,1650,4988,598,16714,10325,10803
2016-09-01,15617,5517,6546,1650,4988,598,16714,10325,10803
2016-10-01,15504,5517,6546,1650,4988,598,16714,10325,10803
2016-11-01,15504,5517,6546,1650,4988,598,16714,10325,10803
2016-12-01,15504,5517,6546,1650,4988,598,16714,10325,10803
2017-01-01,15504,5517,6546,1650,4988,598,16714,10325,10803
2017-02-01,15504,5517,6546,1650,4988,598,16714,10325,10803
2017-03-01,15504,5517,6546,1650,4988,598,16714,10325,10803
2017-04-01,15504,5517,6546,1650,4988,598,16714,10325,10803
2017-05-01,15617,5517,6546,1650,4988,598,16714,10325,10803
2017-06-01,15617,5517,6546,1650,4988,598,16714,10325,10803
2017-07-01,15617,5517,6546,1650,4988,598,16714,10325,10803
2017-08-01,15617,5517,6546,1650,4988,598,16714,10325,10803
2017-09-01,15617,5517,6546,1650,4988,598,16714,10325,10803
2017-10-01,15504,5517,6546,1650,4988,598,16714,10325,10803
2017-11-01,15504,5517,6546,1650,4988,598,16714,10325,10803
2017-12-01,15504,5517,6546,1650,4988,598,16714,10325,10803
2018-01-01,15596,5517,6546,1650,4988,598,16714,11815,10803
2018-02-01,15596,5517,6546,1650,4988,598,16714,11815,10803
2018-03-01,15596,5517,6546,1650,4988,598,16714,11815,10803
2018-04-01,15596,5517,6546,1650,4988,598,16714,11815,10803
2018-05-01,15617,5517,6726,1650,4988,598,16714,11815,10803
2018-06-01,15617,5517,6726,1650,4988,598,16714,11815,10803
2018-07-01,15617,5517,6726,1650,4988,598,16714,11815,10803
2018-08-01,15617,5517,6726,1650,4988,598,16714,11815,10803
2018-09-01,15617,5517,6726,1650,4988,598,16714,11815,10803
2018-10-01,15503,5517,6726,1650,4988,598,16714,11815,10803
2018-11-01,15503,5517,6726,1650,4988,598,16714,11815,10803
2018-12-01,15503,5517,6726,1650,4988,598,16714,11815,10803
2019-01-01,15503,5517,6726,1650,4988,598,16714,11815,10803
2019-02-01,15503,5517,6726,1650,4988,598,16714,11815,10803
2019-03-01,15503,5517,6726,1650,4988,598,16714,11815,10803
2019-04-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2019-05-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2019-06-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2019-07-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2019-08-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2019-09-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2019-10-01,15503,5517,6970,1650,4988,598,16714,11815,10803
2019-11-01,15503,5517,6970,1650,4988,598,16714,11815,10803
2019-12-01,15503,5517,6970,1650,4988,598,16714,11815,10803
2020-01-01,15503,5517,6970,1650,4988,598,16714,11815,10803
2020-02-01,15503,5517,6970,1650,4988,598,16714,11815,10803
2020-03-01,15503,5517,6970,1650,4988,598,16714,11815,10803
2020-04-01,15503,5517,6970,1650,4988,598,16714,11815,10803
2020-05-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2020-06-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2020-07-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2020-08-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2020-09-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2020-10-01,15503,5517,6970,1650,4988,598,16714,11815,10803
2020-11-01,15503,5517,6970,1650,4988,598,16714,11815,10803
2020-12-01,15503,5517,6970,1650,4988,598,16714,11815,10803
2021-01-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2021-02-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2021-03-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2021-04-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2021-05-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2021-06-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2021-07-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2021-08-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2021-09-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2021-10-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2021-11-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2021-12-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2022-01-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2022-02-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2022-03-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2022-04-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2022-05-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2022-06-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2022-07-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2022-08-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2022-09-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2022-10-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2022-11-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2022-12-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2023-01-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2023-02-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2023-03-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2023-04-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2023-05-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2023-06-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2023-07-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2023-08-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2023-09-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2023-10-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2023-11-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2023-12-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2024-01-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2024-02-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2024-03-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2024-04-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2024-05-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2024-06-01,15617,5517,6970,1650,4988,598,16714,11815,10803
2024-07-01,15417,5517,6970,1650,4988,598,16714,11815,10588
2024-08-01,15417,5517,6970,1650,4988,598,16714,11815,10588
2024-09-01,15417,5517,6970,1650,4988,598,16714,11815,10588
2024-10-01,15304,5517,6970,1650,4988,598,16714,11815,10588
2024-11-01,15304,5517,6970,1650,4988,598,16714,11815,10588
2024-12-01,15504,5517,6970,1650,4988,598,16714,11815,10803
2025-01-01,15504,5517,3720,1650,750,598,16714,11815,10803
2025-02-01,15504,5517,3720,1650,750,598,16714,11815,10803
2025-03-01,15504,5517,3720,1650,750,598,16714,11815,10803
2025-04-01,15504,5517,3720,1650,750,598,16714,11815,10803
2025-05-01,15504,5517,3720,1650,750,598,16714,11815,10803
2025-06-01,15504,5517,3720,1650,750,598,16714,11815,10803
2025-07-01,15504,5517,3720,1650,750,598,16714,11815,10803
